,max-xS,max-yS,min-xS,min-yS,mean-xS,mean-yS,median-xS,median-yS,mode-xS,mode-yS,stdv-xS,stdv-yS,peaktopeak-xS,peaktopeak-yS,interquart-xS,interquart-yS,kurtosis-xS,kurtosis-yS,Label
96,0.4801447093486786,0.5551418662071228,0.4625896215438843,0.5436391234397888,0.4727833635277218,0.5507639050483704,0.4752529561519623,0.5520905256271362,0.4625896215438843,0.5436391234397888,0.006827537590337654,0.004166105512000018,0.01755508780479431,0.011502742767333984,0.011952877044677734,0.006004214286804199,-1.5142468732005807,-1.0611448810827442,pass
97,0.4996362328529358,0.7032764554023743,0.46231919527053833,0.6828439235687256,0.48266826735602486,0.6940214302804735,0.48547104001045227,0.6933704614639282,0.46231919527053833,0.6828439235687256,0.014654327290341712,0.0066478879862829935,0.03731703758239746,0.02043253183364868,0.028060555458068848,0.0055963993072509766,-1.5745966997255463,-0.8079384930969984,pass
98,0.5004674792289734,0.6833257079124451,0.4820527732372284,0.6742057800292969,0.49464724130100673,0.6798580487569174,0.4955856502056122,0.6796227693557739,0.4820527732372284,0.6742057800292969,0.006052294792687603,0.0029637091843144068,0.018414705991744995,0.009119927883148193,0.006200224161148071,0.0032866597175598145,0.021033432500864535,-0.4981923331124052,pass
99,0.5004093647003174,0.7329390645027161,0.49322864413261414,0.7122249007225037,0.49582494960890877,0.7252654698159959,0.4958999454975128,0.7264613509178162,0.49633654952049255,0.7122249007225037,0.0024581527461357573,0.005648737064215293,0.007180720567703247,0.020714163780212402,0.003760606050491333,0.0018994808197021484,-0.7774333796497226,1.497872399069772,pass
100,0.4973987936973572,0.5626252293586731,0.4579858183860779,0.5419116020202637,0.4783964306116104,0.5565657367308935,0.4790761321783066,0.559741884469986,0.4641837775707245,0.5445910692214966,0.014011741330057136,0.007029530742834545,0.0394129753112793,0.020713627338409424,0.02689260244369507,0.0046347081661224365,-1.525084509513703,-0.07982327394490163,pass
101,0.5241739749908447,0.7094368934631348,0.4544622302055359,0.6832841038703918,0.4932158713539441,0.695523222287496,0.4968593418598175,0.6964841485023499,0.46526673436164856,0.6832841038703918,0.024836655922747152,0.007973040126282697,0.06971174478530884,0.02615278959274292,0.045346952974796295,0.008590921759605408,-1.487355185820049,-0.779492583590923,pass
102,0.4982830286026001,0.6927876472473145,0.48938530683517456,0.6814481616020203,0.49406446268161136,0.6869626889626185,0.49417462944984436,0.68791463971138,0.4925655424594879,0.6823866367340088,0.003254499454077786,0.003569393920711628,0.008897721767425537,0.01133948564529419,0.005873344838619232,0.005100265145301819,-1.548826623984278,-1.0218752653785792,pass
103,0.5105807781219482,0.7345927357673645,0.5007939338684082,0.7142100930213928,0.5052050749460856,0.7259590228398641,0.5040946006774902,0.7273643314838409,0.5032104253768921,0.7193409204483032,0.0034316545302246777,0.006865157272066826,0.009786844253540039,0.02038264274597168,0.0053419023752212524,0.01142391562461853,-1.3652610443732074,-1.287046053202433,pass
104,0.5043152570724487,0.5544973015785217,0.4624084532260895,0.543827474117279,0.487007585438815,0.5487506118687716,0.49019962549209595,0.5462341904640198,0.4624084532260895,0.5526924133300781,0.014751450012388805,0.00456334583228337,0.04190680384635925,0.010669827461242676,0.021329477429389954,0.008349299430847168,-1.110872217866908,-1.782465184653098,pass
105,0.5189933180809021,0.6990883350372314,0.4598880410194397,0.6764512062072754,0.49701260978525336,0.6898155808448792,0.5058941841125488,0.6894361972808838,0.4598880410194397,0.6764512062072754,0.022211658445817378,0.007563882251443033,0.0591052770614624,0.022637128829956055,0.0334213525056839,0.009573668241500854,-1.154402127499647,-0.8435842073064768,pass
106,0.5124756097793579,0.6902036070823669,0.5060324668884277,0.678949773311615,0.5091022090478377,0.6843858090313998,0.5092713236808777,0.6839552521705627,0.5061783194541931,0.6800666451454163,0.002269910472765454,0.00438735961472351,0.006443142890930176,0.011253833770751953,0.0034671127796173096,0.008615881204605103,-1.3261344420265047,-1.5302672622777331,pass
107,0.5256150960922241,0.7294748425483704,0.5044053792953491,0.7154189348220825,0.5178825042464517,0.7236698540774259,0.5191997289657593,0.7254862189292908,0.517454206943512,0.7154189348220825,0.006553964850630024,0.004971910556843176,0.021209716796875,0.014055907726287842,0.003513842821121216,0.007373303174972534,0.12706251392131662,-1.1256155228668816,pass
108,0.43569299578666687,0.5595905184745789,0.42191261053085327,0.545789897441864,0.4292991280555725,0.5549836933612824,0.4296771138906479,0.5564097464084625,0.42283234000205994,0.5551686882972717,0.004963300213855997,0.0052405078104016374,0.013780385255813599,0.013800621032714844,0.0076936036348342896,0.0062637776136398315,-1.3343646787425145,-0.6981067363129068,pass
109,0.42049887776374817,0.7013911604881287,0.41654157638549805,0.6919142007827759,0.41879222393035886,0.6979674816131591,0.41911210119724274,0.6989328861236572,0.4202583134174347,0.6923801302909851,0.0015659988104711345,0.0032701352537915064,0.003957301378250122,0.009476959705352783,0.0024787932634353638,0.002279534935951233,-1.4897525560335214,-0.26559036091206334,pass
110,0.5034328699111938,0.6878155469894409,0.4516832232475281,0.6375876665115356,0.48072092831134794,0.6725632727146149,0.4833691418170929,0.6839992105960846,0.4516832232475281,0.6375876665115356,0.019342006671684585,0.019937964065172425,0.05174964666366577,0.05022788047790527,0.029179751873016357,0.02650831639766693,-1.2356840886431482,-0.9741345535949439,pass
111,0.5411690473556519,0.7033231854438782,0.47520139813423157,0.6760768294334412,0.5154788196086884,0.6953044533729553,0.5248927772045135,0.7009531855583191,0.47520139813423157,0.6774266958236694,0.023368718250271123,0.010647513557414844,0.06596764922142029,0.02724635601043701,0.028434231877326965,0.010795295238494873,-0.903967869402531,-0.5602642152510384,pass
112,0.4357878863811493,0.5507494211196899,0.4307415187358856,0.5423306822776794,0.43332782983779905,0.5478665351867675,0.433651402592659,0.5498290657997131,0.4307415187358856,0.5423306822776794,0.0015133047534683379,0.0034018686993177957,0.005046367645263672,0.008418738842010498,0.0014182478189468384,0.0050598084926605225,-0.530202629017666,-1.181479936210272,pass
113,0.43780311942100525,0.6955491304397583,0.43200385570526123,0.6931908130645752,0.43687464892864225,0.6942540228366851,0.43748678267002106,0.6937742829322815,0.43200385570526123,0.6954385638237,0.0017779075770376985,0.0009329678636309479,0.0057992637157440186,0.0023583173751831055,0.00019659847021102905,0.0016133487224578857,3.9895335754584016,-1.4316262591131055,pass
